https://papers.ssrn.com/sol3/papers.cfm?abstract_id=0,The Use of Garch Models in Var Estimation
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=45,Effects of the Real Plan on the Brazilian Banking System
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=48,Dynamic Risk Shifting, Debt Maturity and Negotiation Tactics
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=52,The Cost of Equity and Exchange Listing: Evidence from the French Stock Market
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=62,The Performance of Global Bond Mutual Funds
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=64,Protection for Whom? Creditor Conflicts in Bankruptcy
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=70,Determinants of the Consumer Bankruptcy Decision
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=74,Payback and the Value of Waiting to Invest
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=79,The Corporate Monitoring Firm
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=87,Messages from Market to Management: The Case of Ipos
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=91,Contract Renegotiation in Agency Problems
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=96,Discrete Pricing and the Design of Dealership Markets
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=100,The Pre-Commitment Approach: Using Incentives to Set Market Risk Capital Requirements
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=121,Shareholder Proposals on Executive Compensation
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=211,Optimal Penalties for Concealment of Crime
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=219,Radar Detectors, Fixed and Variable Costs of Crime
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=221,Statistics Under the Spotlight: Improving the Consumer Price Index
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=250,Household Income Sharing, Joint Consumption and the Expenditure Patterns of Australian Retired Couples and Single People
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=265,Differences in Strategy, Quality Management Practices and Performance Reporting Systems between ISO Accredited and Non-Iso Accredited Companies
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=314,Re-Examining the Cost-of-Living Index and the Biases of Price Indices
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=323,The Liquidity Effect: Identifying Permanent and Transitory Components of Money Growth
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=329,International Competitiveness: Labor Productivity Leadership and Convergence Among 14 OECD Countries
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=330,Political Support for Reforms: The Role of Unemployment and the Private Sector
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=336,The Surprisingly Complex Case Against Theft
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=343,Cyclicality and Sectoral Linkages: Aggregate Fluctuations from Independent Sectoral Shocks
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=347,Taxation and Long-Run Growth
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=353,Timing of Childbearing, Family Size and Economic Growth
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=362,Pricing an American Option by Approximating its Early Exercise Boundary as a Piece-Wise Exponential Function
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=368,A Legal Analysis of Disclosure of Earnings Forecasts in Prospectuses
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=376,What is the Intrinsic Value of the Dow?
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=388,Information Asymmetry, Investment Horizons and the Dual Role of Public Announcements
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=393,Cost Sharing and Catch Sharing
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=398,Cooperative Games with Stochastic Payoffs: Deterministic Equivalents
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=403,New Stock Market Model
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=405,European Anti-Dumping Policy and the Profitability of National and International Collusion
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=414,The Location Model with Two Periods of Price Competition
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=417,Why is Bank Debt Senior? A Theory of Priority Based on Influence Costs
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=423,Structural Analysis of Labor Market Transitions Using Indirect Inference
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=431,Technological Change and Wages: An Inter-Industry Analysis
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=439,Estimating the Effect of Minimum Wages on Employment from the Distribution of Wages: A Critical Review
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=451,The Determinants and Consequences of Financial Education in the Workplace: Evidence from a Survey of Households
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=456,Race and the Shifting Burden of Job Displacement: 1982-93
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=464,Schooling, Parents and Country
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=470,What Difference Does a Country Make?: Earnings by Soviets in the Soviet Union and in the United States
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=473,Are Administrative Pay Systems a Veil? Evidence from Within-Firm Data
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=487,Unemployment Benefits and Redistributive Taxation in the Presence of Labor Quality Externalities
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=490,Performance Pay and Productivity
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=500,Is the Time-Series Evidence on Minimum Wage Effects Contaminated by Publication Bias?
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=511,Forecasting Asymmetric Unemployment Rates
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=521,Does Workers' Compensation Encourage Hard to Diagnose Injuries?
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=524,Exit Discrimination and its Effect on Career Earnings: An Event History Analysis of Career Longevity in the NBA
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=532,Movements of Wages Over the Business Cycle: An Intra-Firm View
